Model,Height,Width,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3,FPS,Parameters,params_enc,params_dec,FLOPs,fl_enc,fl_dec
resnet18,256,832,0.11297217411773448,0.8879095905352186,4.786252194873914,0.1906310185319724,0.881784827033742,0.9612993905282582,0.981629494779153,272.960041650397,14.842M,11.690M,3.153M,125.277G,69.475G,55.802G
resnet18_nn3,256,832,0.1369922692530723,1.0847916319816664,5.1457746502658726,0.2010168385300438,0.8488087122807716,0.9567319952967617,0.9824415229107418,340.5020295502517,13.658M,11.690M,1.969M,157.984G,69.475G,88.508G
resnet18_nn3_dw,256,832,0.13187092358254462,1.0055460730297665,5.2937154617679,0.20194181160656588,0.8433060283090157,0.9533696795401833,0.9823506244780734,288.704845814978,11.926M,11.690M,236.400K,82.714G,69.475G,13.238G
resnet18_nn5,256,832,0.1428230209182547,1.3819228033060835,5.940694957928815,0.2114271310236909,0.8301265882754523,0.9466902980699877,0.9794220166235299,340.69563804727477,17.156M,11.690M,5.467M,315.018G,69.475G,245.543G
resnet18_nn5_dw,256,832,0.14365234333952326,1.1099508394149147,5.836899584471923,0.2207863234421786,0.810422127018652,0.9421737374678207,0.9783754431180671,303.5830920671685,11.950M,11.690M,260.464K,87.437G,69.475G,17.962G
resnet18_nn35,256,832,0.13965526093839745,1.1974732030284627,5.365455926576338,0.20560569442284843,0.8436892132333836,0.9535753323411829,0.9810200367998381,331.72287250869977,14.011M,11.690M,2.321M,267.908G,69.475G,198.433G
resnet18_nn53,256,832,0.14311100985090566,1.1717286180047428,5.67157294367102,0.21550073865881267,0.8179273751931891,0.9463972351675589,0.9798361050599781,336.055123788158,16.804M,11.690M,5.115M,205.094G,69.475G,135.619G
resnet18_nn3_3x3,256,832,0.13262538436581106,1.033897687043658,5.3764323165461185,0.20388360500036387,0.8426055616221804,0.9525982946254591,0.98128188884103,344.78454582819563,13.660M,11.690M,1.971M,158.444G,69.475G,88.968G
resnet18_nn3_upconv,256,832,0.12902011333228525,0.8498686814368027,5.192634654695026,0.20950498400921458,0.8470552485674375,0.9513186855877898,0.9791789237797268,321.52579532387887,13.658M,11.690M,1.969M,91.645G,69.475G,22.170G
